"date","raisin","simone","gagne","std"
2019-10-11,"17 06","10 04",NA,NA
2019-10-15,"17 09","10 05",NA,NA
2019-10-19,"17 11","10 03",NA,NA
2019-10-22,"17 11","10 05",NA,NA
2019-11-04,"17 02","9 02",NA,NA
2019-11-06,"17 06","9 10",NA,NA
2019-11-10,"17 09","10 00",NA,NA
2019-11-17,"17 05","9 12",NA,NA
2019-11-24,"17 10","9 14",NA,NA
2019-11-30,"17 06","9 12",NA,NA
2019-12-07,"17 08","9 14",NA,NA
2019-12-12,"17 12","10 00",NA,NA
2019-12-15,"17 14","10 00",NA,NA
2019-12-19,"17 13","9 14",NA,NA
2019-12-30,"17 13","9 14",NA,NA
2020-01-11,"17 09","9 10",NA,NA
2020-01-13,"17 10","9 09",NA,NA
2020-01-19,"17 15","9 11",NA,NA
2020-01-22,"17 14","9 13",NA,NA
2020-01-29,"18 00","9 15",NA,NA
2020-02-03,"17 05","9 05",NA,NA
2020-02-06,"17 06","9 10",NA,NA
2020-02-13,"17 07","9 15",NA,NA
2020-02-18,"17 04","9 04",NA,NA
2020-02-25,"17 05","9 12",NA,NA
2020-03-04,"17 08","10 01",NA,NA
2020-03-10,"17 08","10 00",NA,NA
2020-03-13,"17 08","9 15",NA,NA
2020-03-20,"17 10","10 03",NA,NA
2020-03-24,"17 09","10 01",NA,NA
2020-03-30,"17 14","10 01",NA,NA
2020-04-03,"17 14","10 01",NA,NA
2020-04-06,"17 13","10 05",NA,NA
2020-04-10,"17 13","10 03",NA,NA
2020-04-17,"17 15","10 08",NA,NA
2020-04-20,"17 15","10 09",NA,NA
2020-04-26,"18 02","10 06",NA,NA
2020-05-02,"18 05","10 06",NA,NA
2020-05-06,"18 03","10 07",NA,NA
2020-05-12,"18 06","10 06",NA,NA
2020-05-16,"18 06","10 08",NA,NA
2020-05-20,"18 07","10 09",NA,NA
2020-05-22,"18 09","10 13",NA,NA
2020-05-23,"18 05","10 10",NA,NA
2020-05-30,"18 05","10 08",NA,NA
2020-06-04,"18 05","10 04",NA,NA
2020-06-09,"18 07","10 08",NA,"20 15.6"
2020-06-10,"18 03","10 06",NA,NA
2020-06-13,"18 02","10 09",NA,NA
2020-06-16,"18 07","10 07",NA,NA
2020-06-18,"18 08","10 07",NA,NA
2020-06-21,"18 03","10 07",NA,NA
2020-06-23,"18 05","10 08",NA,NA
2020-07-12,"18 09","10 08",NA,NA
2020-07-13,"18 06",NA,NA,NA
2020-07-14,"18 06",NA,NA,NA
2020-07-15,"18 08","10 06",NA,NA
2020-07-17,"18 05","10 12",NA,NA
2020-07-18,"18 09",NA,NA,NA
2020-07-20,"18 10","10 07",NA,NA
2020-07-23,"18 10",NA,NA,NA
2020-07-24,"18 08","10 09",NA,NA
2020-07-27,"18 09","10 08",NA,NA
2020-07-29,"18 06","10 08",NA,NA
2020-07-31,"18 07","10 07",NA,NA
2020-08-02,"18 09","10 10",NA,"20 15.6"
2020-08-03,"18 07","10 08",NA,NA
2020-08-04,"18 09","10 07",NA,NA
2020-08-06,"18 08","10 09",NA,NA
2020-08-07,"18 05","10 06",NA,NA
2020-09-01,"18 09","9 06",NA,NA
2020-09-07,"18 03","9 15",NA,NA
